2023-12-20 14:26:43.510 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2023-12-20 14:26:43.513 [restartedMain] INFO  c.e.posterrest.PosterRestApplication - Starting PosterRestApplication using Java 21.0.1 on Alesha with PID 668 (C:\Users\MLTS_Alesha\IdeaProjects\poster-rest\target\classes started by MLTS_Alesha in C:\Users\MLTS_Alesha\IdeaProjects\poster-rest)
2023-12-20 14:26:43.513 [restartedMain] INFO  c.e.posterrest.PosterRestApplication - No active profile set, falling back to 1 default profile: "default"
2023-12-20 14:26:43.551 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-12-20 14:26:43.551 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-12-20 14:26:44.085 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-12-20 14:26:44.121 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 30 ms. Found 2 JPA repository interfaces.
2023-12-20 14:26:44.530 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-12-20 14:26:44.537 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-12-20 14:26:44.538 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-12-20 14:26:44.538 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-12-20 14:26:44.589 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-12-20 14:26:44.589 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1037 ms
2023-12-20 14:26:44.607 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-12-20 14:26:44.759 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-12-20 14:26:44.770 [restartedMain] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:postgresql://localhost:5432/postgres'
